model,best_params,best_cv_macro_f1,cv_mean_macro_f1,cv_std_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_precision_weighted,test_recall_weighted
Logistic Regression (最优参数固定),"{
  ""clf__C"": 460.0,
  ""clf__penalty"": ""l2"",
  ""clf__solver"": ""lbfgs""
}",0.96016,0.960158963427704,0.01166,0.96154,0.96089,0.96148,0.96098,0.96153,0.96214,0.96154
Decision Tree (最优参数固定),"{
  ""max_depth"": null,
  ""min_samples_split"": 2,
  ""min_samples_leaf"": 1,
  ""ccp_alpha"": 0.0,
  ""max_leaf_nodes"": 128
}",0.94665,0.946653115934043,0.01825,0.94471,0.94333,0.94434,0.94416,0.94383,0.94521,0.94471
Random Forest (最优参数固定),"{
  ""n_estimators"": 400,
  ""max_depth"": null,
  ""min_samples_split"": 2,
  ""min_samples_leaf"": 1,
  ""max_features"": 0.65
}",0.95926,0.9592647258669575,0.02117,0.96875,0.9671,0.96862,0.96755,0.96788,0.96961,0.96875
XGBoost (最优参数固定),"{
  ""random_state"": 42,
  ""eval_metric"": ""mlogloss"",
  ""n_jobs"": 1,
  ""n_estimators"": 200,
  ""max_depth"": 8,
  ""learning_rate"": 0.1,
  ""min_child_weight"": 1,
  ""subsample"": 0.9,
  ""colsample_bytree"": 0.9,
  ""note"": ""与 model.ipynb GridSearch 最优一致""
}",0.9675,0.9674952597349622,0.01193,0.97596,0.97507,0.97593,0.97575,0.97512,0.97656,0.97596
